Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,655.422218514144,677.9789381157939,655.422218514144,661.3193969726562,169908,0.0,0
2021-08-18,662.302260049075,670.4108804295295,656.6016662036867,661.3193969726562,107866,0.0,0
2021-08-20,654.6851124433866,659.1571877141349,638.8610399120172,640.4827880859375,113259,0.0,0
2021-08-23,643.9227846565182,659.9925723632024,631.0472420390828,634.8804321289062,142051,0.0,0
2021-08-24,629.5729142665285,663.4325583146496,629.081482741851,659.6485595703125,157667,0.0,0
2021-08-25,660.4839605443092,670.2634597555655,646.7238780329694,650.5570678710938,105182,0.0,0
2021-08-26,652.6210990106875,668.3469086254029,645.7410573042496,653.9971313476562,145910,0.0,0
2021-08-27,654.586827861131,668.3469113296833,650.2622062039047,662.9902954101562,82301,0.0,0
2021-08-30,666.3320013831922,678.175488864803,663.4325434546986,673.3594360351562,91905,0.0,0
2021-08-31,678.0772875209435,682.1070022996547,662.5480023014327,665.6931762695312,86320,0.0,0
2021-09-01,666.5285729495323,676.7994433929865,661.5650667671888,664.169677734375,62843,0.0,0
2021-09-02,665.3983162759395,675.4726630142384,663.4325900831006,669.2315063476562,92423,0.0,0
2021-09-03,669.8211741681033,702.7470866180394,666.5777380738601,689.0852661132812,395603,0.0,0
2021-09-06,697.0160417743106,711.7871360710718,684.8224859458059,687.4000244140625,94176,6.0,0
2021-09-07,696.7999877929688,705.5499877929688,675.25,686.1500244140625,197418,6.0,0
2021-09-08,693.9000244140625,714.8499755859375,680.0999755859375,708.4500122070312,262847,0.0,0
2021-09-09,713.5,739.9500122070312,708.0999755859375,730.6500244140625,480550,0.0,0
2021-09-13,733.75,739.0,726.0,728.4500122070312,173298,0.0,0
2021-09-14,733.8499755859375,739.0,727.2000122070312,730.7999877929688,132770,0.0,0
2021-09-15,735.0,744.0,720.2000122070312,737.0,400765,0.0,0
2021-09-16,739.8499755859375,739.8499755859375,725.0499877929688,726.75,103150,0.0,0
2021-09-17,731.0,732.7999877929688,693.0,710.3499755859375,208722,0.0,0
