Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-17,156.5,156.5,151.75,152.64999389648438,27696062,0,0
2021-08-18,152.60000610351562,158.60000610351562,151.0,157.14999389648438,34481078,0,0
2021-08-20,155.0,155.14999389648438,151.1999969482422,152.8000030517578,11571042,0,0
2021-08-23,154.0,154.64999389648438,148.1999969482422,152.89999389648438,8868571,0,0
2021-08-24,152.0,156.0,151.75,155.6999969482422,7969447,0,0
2021-08-25,155.89999389648438,156.8000030517578,150.5,151.0500030517578,31519244,0,0
2021-08-26,151.4499969482422,155.14999389648438,151.35000610351562,152.85000610351562,30156307,0,0
2021-08-27,153.14999389648438,153.4499969482422,151.1999969482422,151.60000610351562,9377338,0,0
2021-08-30,153.0,155.8000030517578,152.10000610351562,155.25,12970720,0,0
2021-08-31,155.25,162.5,153.6999969482422,159.10000610351562,32668471,0,0
2021-09-01,159.0,162.1999969482422,157.1999969482422,161.0500030517578,16600381,0,0
2021-09-02,161.64999389648438,162.9499969482422,158.39999389648438,159.10000610351562,18378252,0,0
2021-09-03,159.35000610351562,163.4499969482422,159.10000610351562,160.6999969482422,19159144,0,0
2021-09-06,161.6999969482422,164.0,159.75,160.0500030517578,16465948,0,0
2021-09-07,160.6999969482422,160.6999969482422,155.1999969482422,156.10000610351562,15716324,0,0
2021-09-08,156.10000610351562,161.14999389648438,155.6999969482422,157.75,17990305,0,0
2021-09-09,157.0,159.6999969482422,156.64999389648438,157.5,6760623,0,0
2021-09-13,157.0,158.10000610351562,155.4499969482422,156.8000030517578,6645239,0,0
2021-09-14,157.0,157.89999389648438,154.64999389648438,155.25,9677274,0,0
2021-09-15,156.39999389648438,162.0500030517578,155.5,161.60000610351562,19003954,0,0
2021-09-16,161.60000610351562,167.8000030517578,160.4499969482422,166.75,37965546,0,0
2021-09-17,169.3000030517578,171.25,159.1999969482422,162.75,44856907,0,0
