Ticker,Market Cap,P/S,LTP,Book Value
CESC.NS,1222,0.105010435,88.2,744.56
CHAMBLFERT.NS,13013,0.99513996,320,105.734
CHENNPETRO.NS,1751,0.06328999,115.85,108.199
COFFEEDAY.NS,641,0.37677908,28.95,192.646
CORDSCABLE.NS,71,0.22369154,56.45,107.126
CUBEXTUB.NS,31,0.5068568,22.5,40.968
CYBERMEDIA.NS,15,0.41020703,10.4,-9.491
DAAWAT.NS,2166,0.4665781,67.95,54.809
DCW.NS,1046,0.615752,39.95,25.967
DEEPAKFERT.NS,4415,0.69773525,415.2,263.126
DELTAMAGNT.NS,61,0.50253266,56.15,31.619
DHAMPURSUG.NS,2005,0.48258325,301.9,234.918
DHFL.NS,524,0.061280947,16.7,-657.236
DIAPOWER.NS,37,0.054227892,1.35,20.203
DICIND.NS,424,0.64205635,469.5,413.336
DLINKINDIA.NS,474,0.62071747,137.85,74.983
DOLPHINOFF.NS,7,0.041804947,3.8,347.224
DONEAR.NS,308,0.75176096,60.55,21.656
DQE.NS,7,0.2765618,0.85,20.35
DWARKESH.NS,1346,0.75185287,72.5,30.744
EASTSILK.NS,28,0.26311985,3.7,-2.903
EASUNREYRL.NS,8,0.10109533,2.8,45.742
EDUCOMP.NS,35,0.121261165,3,17.731
EIDPARRY.NS,7689,0.40903515,444.4,234.25
ELECTCAST.NS,1664,0.47968328,39.6,66.056
ELECTHERM.NS,161,0.06704965,128.8,-913.839
ELGIRUBCO.NS,197,0.5761427,39.85,36.25
EMCO.NS,12,0.053663906,1.8,-42.161
EMMBI.NS,193,0.75702286,102,73.445
EON.NS,11,0.44658798,6.4,44.566
EROSMEDIA.NS,181,0.575664,19.35,130.31
ESSARSHPNG.NS,205,0.43670452,10.25,-216.014
EUROCERA.NS,3,0.17378381,1.05,-161.482
EUROTEXIND.NS,10,0.43196857,10.85,-7.983
EVERESTIND.NS,671,0.5348247,442.15,325.134
EXIDEIND.NS,15678,0.9610652,182.85,85.631
FILATEX.NS,2339,0.8411284,106.05,34.52
FLEXITUFF.NS,38,0.045428354,15.25,55.172
FLFL.NS,1081,0.37447897,52.85,50.881
FMNL.NS,49,0.7269495,8.9,19.251
GAEL.NS,4163,0.8493577,175.45,72.186
GALLANTT.NS,577,0.47186238,73.15,81.867
GAMMNINFRA.NS,169,0.620974,0,3.215
GAYAPROJ.NS,1010,0.25867552,56.85,50.582
GENUSPAPER.NS,253,0.9798775,10.15,13.889
GILLANDERS.NS,99,0.21835573,47.5,133.269
GINNIFILA.NS,234,0.26994732,34.65,33.158
GIPCL.NS,1244,0.9603042,83.4,192.605
GITANJALI.NS,12,0.0006848981,1.05,560.95
GLOBALVECT.NS,76,0.25745034,52.3,34.19
GOACARBON.NS,337,0.95586646,374.9,83.272
GOKEX.NS,844,0.6938679,200.55,67.637
GOKUL.NS,277,0.10526669,28.35,23.822
GOKULAGRO.NS,524,0.062593035,40.55,23.837
GOODLUCK.NS,749,0.39606193,306.35,155.11
GRAVITA.NS,1400,0.9934311,208.5,39.676
GREENPOWER.NS,239,0.9004766,3.3,6.126
GRPLTD.NS,127,0.45648763,953.75,987.011
GSCLCEMENT.NS,441,0.6984731,51.45,45.344
GSFC.NS,4395,0.56010777,110.4,191.79
GTNTEX.NS,8,0.14825213,7.5,53.957
GULFPETRO.NS,286,0.46904495,56.35,45.548
GVKPIL.NS,436,0.10525792,2.5,-9.396
HARRMALAYA.NS,366,0.81164706,202.8,62.314
HCC.NS,1544,0.17111629,10.05,-10.823
HDIL.NS,220,0.34206322,4.7,261.911
HERITGFOOD.NS,2229,0.9013659,463.95,128.348
HILTON.NS,18,0.30621904,14.75,41.408
HIMATSEIDE.NS,2399,0.8290047,245.95,133.727
